participant,model,channel,channel_index,baseline_auc,occluded_auc,delta_auc,baseline_accuracy,occluded_accuracy,delta_accuracy
P02,eegnet,Fz,37,0.7125,0.7118749999999999,0.0006250000000000977,0.6875,0.6375,0.050000000000000044
P02,eegnet,F2,38,0.7125,0.7062499999999999,0.006250000000000089,0.6875,0.6625,0.025000000000000022
P02,eegnet,F4,39,0.7125,0.7112499999999999,0.0012500000000000844,0.6875,0.65,0.03749999999999998
P02,eegnet,F6,40,0.7125,0.7150000000000001,-0.0025000000000000577,0.6875,0.7,-0.012499999999999956
P02,eegnet,F8,41,0.7125,0.7075,0.0050000000000000044,0.6875,0.6875,0.0
P02,eegnet,FT8,42,0.7125,0.7175,-0.0050000000000000044,0.6875,0.6625,0.025000000000000022
P02,eegnet,FC6,43,0.7125,0.7175,-0.0050000000000000044,0.6875,0.6375,0.050000000000000044
P02,eegnet,FC4,44,0.7125,0.72,-0.007499999999999951,0.6875,0.7,-0.012499999999999956
P02,eegnet,FC2,45,0.7125,0.718125,-0.005624999999999991,0.6875,0.6625,0.025000000000000022
P02,eegnet,FCz,46,0.7125,0.71625,-0.003750000000000031,0.6875,0.6375,0.050000000000000044
P02,eegnet,Cz,47,0.7125,0.72,-0.007499999999999951,0.6875,0.65,0.03749999999999998
P02,eegnet,C2,48,0.7125,0.705625,0.0068750000000000755,0.6875,0.65,0.03749999999999998
P02,eegnet,C4,49,0.7125,0.7137499999999999,-0.0012499999999998623,0.6875,0.6375,0.050000000000000044
P02,eegnet,C6,50,0.7125,0.6925,0.020000000000000018,0.6875,0.65,0.03749999999999998
P02,eegnet,T8,51,0.7125,0.6968749999999999,0.01562500000000011,0.6875,0.6375,0.050000000000000044
P02,eegnet,TP8,52,0.7125,0.6993750000000001,0.013124999999999942,0.6875,0.65,0.03749999999999998
P02,eegnet,CP6,53,0.7125,0.710625,0.001875000000000071,0.6875,0.65,0.03749999999999998
P02,eegnet,CP4,54,0.7125,0.698125,0.014375000000000027,0.6875,0.675,0.012499999999999956
P02,eegnet,CP2,55,0.7125,0.70125,0.011249999999999982,0.6875,0.6625,0.025000000000000022
P02,eegnet,P2,56,0.7125,0.703125,0.009375000000000022,0.6875,0.6625,0.025000000000000022
